ARK;"Dénomination / Titre";Auteur;"Date de création";"Numéro d’inventaire";Collection
cl010065432;"Portrait de Jean-François Champollion (1790-1832), dit Champollion le Jeune";"Cogniet, Léon ; France";"vers 1834";"INV 3294; LP 6939";"Département des Peintures"
cl010065434;"La salle Pierre Puget au Musée du Louvre en 1910";"Martin, Alfred ; France";1910;"INV 20425";"Département des Peintures"
cl010065435;"Madame Jean-Baptiste Mauzaisse, née Marie-Julienne Noë (1757-1827), mère de l'artiste";"Mauzaisse, Jean Baptiste ; France";1826;"INV 6582; LP 6168";"Département des Peintures"
cl010065436;"Paysage avec le repos pendant la fuite en Égypte";"Mauperché, Henri ; France";1671;"RF 1951 44";"Département des Peintures"
cl010065438;"Claude de Beaune de Semblançay, dame de Chateaubrun (v. 1530-1571).";"Clouet, François ; France";1563;"INV 3277; C 329";"Département des Peintures"
cl010065439;"Jean d'Albon, seigneur de Saint-André (1472-1549), chambellan d'Anne de Bretagne en 1502, gouverneur de Henri de France (futur Henri II) en 1530.";"Corneille de Lyon ; France";"1500 / 1600  (XVIe siècle)";"RF 342";"Département des Peintures"
cl010065440;"Une matinée. La danse des nymphes";"Corot, Jean-Baptiste Camille ; France";"1825 / 1850  (2e quart du XIXe siècle)";"RF 73";"Département des Peintures"
cl010065441;"Venise, la piazzetta.";"Corot, Jean-Baptiste Camille ; France";1834;"RF 1755";"Département des Peintures"
cl010065442;"Madame Charles-Pierre Pécoul, née Potain, belle-mère de l'artiste.";"David, Jacques-Louis ; France";1784;"INV 3707; LP 6097";"Département des Peintures"
cl010065443;"Pierre Sériziat (1757-1847), beau-frère de l'artiste.";"David, Jacques-Louis ; France";1795;"RF 1281";"Département des Peintures"
cl010065444;"Madame Pierre Sériziat, née Émilie Pecoul, soeur de Mme David, née Marguerite-Charlotte Pécoul, et un de ses fils, Émile, né en 1793.";"David, Jacques-Louis ; France";1795;"RF 1282";"Département des Peintures"
cl010065445;"Intérieur de la mosquée de Mourestan au Caire.";"Dauzats, Adrien ; France";1866;"INV 20584";"Département des Peintures"
cl010065448;"Figure académique : Hector.";"David, Jacques-Louis ; France";1805;"INV 3697; LP 4167";"Département des Peintures"
cl010065477;"Le Panier d'oeufs.";"Delaporte, Henri-Horace-Roland ; France";1788;"RF 1982 78";"Département des Peintures"
cl010065480;"Vue prise sur la côte de Normandie";"Isabey, Eugène ; France";1828;"RF 1981 11";"Département des Peintures"
cl010065482;"Phèdre et Hippolyte";"Guérin, Pierre-Narcisse ; France";"avant 1802";"RF 1982 13";"Département des Peintures"
cl010065484;"Corbeille de fleurs";"Anonyme ; France";"1660 / 1670  (2e moitié du XVIIe siècle)";"INV 8944; LP 3561";"Département des Peintures"
cl010065494;"L'Inspiration du poète";"Poussin, Nicolas ; France";"vers 1629";"RF 1774";"Département des Peintures"
cl010065499;"Le lit de Justice tenu au Parlement à la majorité de Louis XV (22 février 1723)";"Lancret, Nicolas ; France";1723;"RF 1949 32";"Département des Peintures"
cl010065517;"La Vierge à l'Enfant avec un évêque et saint Jacques";"Blanchard, Jacques ; France";1640;"RF 1947 20";"Département des Peintures"
cl010065518;"Paysage historique : Psyché et le dieu Pan.";"Bidauld, Jean Joseph Xavier ; France";"1800 / 1850  (1e moitié du XIXe siècle)";"INV 2580; L 3769";"Département des Peintures"
cl010065519;"Vue prise à Essonnes, près de Corbeil.";"Bertin, Jean-Victor ; France";1802;"RF 1951 25";"Département des Peintures"
cl010065520;"Bouquet de lis et de roses dans une corbeille posée sur une chiffonière.";"Berjon, Antoine ; France";1814;"RF 1974 10";"Département des Peintures"
cl010065521;"Vue de la salle des bijoux et de l'enfilade des salles du musée Charles X, au Louvre vers 1840.";"Auguste, Joseph ; France";"vers 1840";"RF 3630";"Département des Peintures"
cl010065527;"Portrait d'homme";"Bourdon, Sébastien ; France ; Lefebvre, Claude";"vers 1670";"INV 2817; L 3868";"Département des Peintures"
cl010065528;"Portrait d'un homme tenant un buste de Caracalla";"Bourdon, Sébastien ; France ; Anonyme";1650;"INV 2815; MR 1253";"Département des Peintures"
cl010065529;"Portrait d'homme.";"Berger, Joseph ; France";"1825 / 1850  (2e quart du XIXe siècle)";"RF 1939 26";"Département des Peintures"
cl010065530;"Martyrs chrétiens entrant à l'amphithéâtre";"Benouville, Léon ; France";1855;"INV 20042";"Département des Peintures"
cl010065531;"Vue de Saint-Pierre de Rome.";"Benouville, Achille ; France";1866;"RF 1961 16";"Département des Peintures"
cl010065532;"Portrait d'une femme noire";"Benoist, Marie-Guillemine ; France";1800;"INV 2508; L 3597";"Département des Peintures"
cl010065535;"La Galerie d'Apollon au Musée du Louvre.";"Castelnau, Pierre de ; France";"1850 / 1900  (2e moitié du XIXe siècle)";"RF 1957 5";"Département des Peintures"
cl010065538;"La Glorification de la Vierge";"Le Moyne, François ; France";"avant 1731";"RF 2459";"Département des Peintures"
cl010065539;"Paysage à la rivière.";"Allegrain, Étienne ; France";"1700 / 1750  (1e moitié du XVIIIe siècle)";"INV 2316; L 3889";"Département des Peintures"
cl010065540;"Victor Riquetti, marquis de Mirabeau (1715-1789).";"Aved, Joseph ; France";1743;"INV 2374; MN 40";"Département des Peintures"
cl010065541;"Le Dessert de gaufrettes";"Baugin, Lubin ; France";"vers 1631";"RF 1954 23";"Département des Peintures"
cl010065544;"Portrait d'une femme âgée.";"Boulanger, Louis ; France";1858;"RF 2512";"Département des Peintures"
cl010065545;"Adélaïde Boulanger, née Lemoinier-Delafosse (1829-après 1900), femme de l'artiste, plus tard Mme Vallée.";"Boulanger, Louis ; France";1858;"RF 1180";"Département des Peintures"
cl010065546;"Vénus désarme l'Amour.";"Boucher, François ; France";1749;"RF 289";"Département des Peintures"
cl010065547;"La Toilette de Vénus.";"Boucher, François ; France";1749;"RF 288";"Département des Peintures"
cl010065550;"La Chasse de Méléagre et d'Atalante";"Le Brun, Charles ; France";"vers 1658";"INV 2899; L 3580";"Département des Peintures"
cl010065551;"La Mort de Méléagre";"Le Brun, Charles ; France";"1657 / 1658  (2e quart du XVIIe siècle)";"INV 2900; L 3581";"Département des Peintures"
cl010065552;"Victoire de Gédéon sur les Madianites";"Le Pilleur, Jérémie ; France";1630;"RF 1942 1";"Département des Peintures"
cl010065553;Paysage;"Largillière, Nicolas de ; France";"vers 1715";"RF 1971 2";"Département des Peintures"
cl010065554;"La Remise de l'Ordre du Saint-Esprit, dans la chapelle de Versailles (3 juin 1724)";"Lancret, Nicolas ; France";"vers 1724";"RF 1949 33";"Département des Peintures"
cl010065555;"L'Adoration des bergers";"La Tour, Georges de ; France";"vers 1644";"RF 2555";"Département des Peintures"
cl010065556;"Le compositeur Cherubini et la Muse de la poésie lyrique";"Ingres, Jean-Auguste-Dominique ; France";1842;"INV 5423; LP 7311";"Département des Peintures"
cl010065558;"Brutus condamnant ses fils à mort";"Guillon-Lethière, Guillaume ; France";1811;"INV 6228; L 3604";"Département des Peintures"
cl010065560;"Jardin italien. L'Ermitage.";"Houel, Jean-Pierre ; France";1774;"MI 269";"Département des Peintures"
cl010065561;"Paysage composé : la Rivière, dit aussi Fontaine pyramidale avec une statue de Neptune brisée";"Lajoue, Jacques de ; France";"vers 1735";"RF 1965 1";"Département des Peintures"
cl010065562;"La résurrection de Lazare";"Julien, Simon ; France";"vers 1798";"RF 1964 12";"Département des Peintures"
cl010065563;"Jésus chassant les vendeurs du Temple";"Julien, Simon ; France";"1758 / 1798  (2e moitié du XVIIIe siècle)";"RF 1964 11";"Département des Peintures"
cl010065564;Autoportrait;"Jouvenet, Jean ; France";"1675 / 1725  (Fin du XVIIe siècle - début du XVIIIè siècle)";"RF 721";"Département des Peintures"
cl010065565;"Le médecin Raymond Finot (1636-1709)";"Jouvenet, Jean ; France";"1700 / 1704  (1e quart du XVIIe siècle)";"INV 5503; LP 3508";"Département des Peintures"
cl010065566;"Une odalisque, dite La grande odalisque";"Ingres, Jean-Auguste-Dominique ; France";1814;"RF 1158";"Département des Peintures"
cl010065567;L'Académie;"Le Nain, Louis ; Anonyme ; Le Nain, Antoine ; France";"vers 1640";"RF 701";"Département des Peintures"
cl010065568;"Les petits joueurs de cartes";"Le Nain, Louis ; Le Nain, Antoine ; France";"1635 / 1638  (2e quart du XVIIe siècle)";"RF 124";"Département des Peintures"
cl010065569;"La Cène";"Le Nain, Mathieu ; France";"vers 1655";"RF 2824";"Département des Peintures"
cl010065570;"Portraits dans un intérieur";"Le Nain, Antoine ; Le Nain, Louis ; France";1647;"RF 519";"Département des Peintures"
cl010065571;"La Tabagie";"Le Nain, Louis ; Le Nain, Antoine ; France";1643;"RF 1969 24";"Département des Peintures"
cl010065575;"Jeune Dessinateur";"Jeaurat, Étienne ; France";"1750 / 1800  (2e moitié du XVIIIe siècle)";"RF 1946 7";"Département des Peintures"
cl010065576;"Portement de croix";"Hesdin, Jacquemart ; France";"1400 / 1425  (1e quart du XVe siècle)";"RF 2835";"Département des Peintures"
cl010065578;"Edme Bochet (1783-1871)";"Ingres, Jean-Auguste-Dominique ; France";1811;"RF 194";"Département des Peintures"
cl010065579;"Ménagère saxonne";"Hutin, Charles-François ; France";"vers 1769";"RF 3951";"Département des Peintures"
cl010065580;"Inondation à Saint-Cloud (parc de Saint-Cloud)";"Huet, Paul ; France";1855;"RF 96";"Département des Peintures"
cl010065581;"Louis de Ronchaud";"Houssay, Joséphine ; France";"1800 / 1900  (XIXe siècle)";"INV 20098";"Département des Peintures"
cl010065582;"Danse de paysans.";"Houel, Jean-Pierre ; France";"vers 1774";"MI 266";"Département des Peintures"
cl010065583;"Paysage d'Italie avec un joueur de mandoline.";"Houel, Jean-Pierre ; France";1774;"MI 268";"Département des Peintures"
cl010065584;"La Mise au tombeau";"Vouet, Simon ; France";"1640 / 1642  (2e quart du XVIIe siècle)";"INV 8496; L 3601";"Département des Peintures"
cl010065585;"Sainte Cécile, patricienne romaine";"Villiers, Hyacinthe de ; France";1845;"INV 20130";"Département des Peintures"
cl010065586;"La Mort de saint Antoine";"Vignon, Claude ; France";"1618 / 1620  (1e quart du XVIIe siècle)";"RF 1939 7";"Département des Peintures"
cl010065587;"Le retour de Marcus Sextus";"Guérin, Pierre-Narcisse ; France";1799;"INV 5180; C 312";"Département des Peintures"
cl010065588;"Andromaque et Pyrrhus";"Guérin, Pierre-Narcisse ; France";1810;"INV 5183; L 3780";"Département des Peintures"
cl010065589;"Didon. Énée racontant à Didon les malheurs de la ville de Troie";"Guérin, Pierre-Narcisse ; France";1815;"INV 5184; L 3590";"Département des Peintures"
cl010065590;"Clytemnestre hésite avant de frapper Agamemnon endormi. Égisthe, son complice, la pousse";"Guérin, Pierre-Narcisse ; France";1817;"INV 5185; L 3610";"Département des Peintures"
cl010065591;"Vue du Pas Bayard, près de Dinant ( Meuse), Belgique.";"Guiaud, Jacques ; France";1836;"INV 5254; LP 2337";"Département des Peintures"
cl010065595;"La destruction de Jérusalem par les Romains. Esquisse.";"Heim, François-Joseph ; France";"1800 / 1825  (1e quart du XIXe siècle)";"RF 1971 1";"Département des Peintures"
cl010065599;"Joseph Vernet (1714-1789), peintre";"Vigée-Le Brun, Louise-Élisabeth ; France";1778;"INV 3054; L 3511";"Département des Peintures"
cl010065600;"Salomon et la reine de Saba";"Vignon, Claude ; France";1624;"RF 3737";"Département des Peintures"
cl010065602;"La Tentation de saint Antoine";"Watteau, Louis Joseph ; France";1781;"RF 1951 43";"Département des Peintures"
cl010065607;"Gaucher de Châtillon (1250-1328), connétable de France";"Vouet, Simon ; France";"1632 / 1635  (2e quart du XVIIe siècle)";"RF 1937 119";"Département des Peintures"
cl010065615;"Caprice architectural";"Le Lorrain, Louis-Joseph ; France";"1748 / 1749  (Milieu du XVIIIe siècle)";"RF 1976 19";"Département des Peintures"
cl010065629;"Louis XII proclamé ""Père du Peuple aux États généraux de Tours en 1506";"Drolling, Michel-Martin ; France";"1825 / 1850  (2e quart du XIXe siècle)";"RF 1979 27";"Département des Peintures"
cl010065630;"Le Vésuve personnifié reçoit de Jupiter le feu qui doit consumer les villes d'Herculanum, de Pompéi et de Stabies. Esquisse de plafond.";"Heim, François-Joseph ; France";1826;"RF 1977 450";"Département des Peintures"
cl010065632;"La Petite collation, dit aussi Nature morte à la carafe d'orgeat, ou La Carafe d'orgeat.";"Delaporte, Henri-Horace-Roland ; France";1787;"RF 1979 1";"Département des Peintures"
cl010065649;"Crosse de Humbert.";"Bonnefond, Claude ; France";"1800 / 1825  (1e quart du XIXe siècle)";"INV 2695; C 335";"Département des Peintures"
cl010065654;"Don Pedro de Tolède, ambassadeur de Philippe II, baisant l'épée d'Henri IV au Louvre, dans l'escalier Henri II.";"Ingres, Jean-Auguste-Dominique ; France";1831;"RF 1981 56";"Département des Peintures"
cl010065657;"Les bergers au tombeau d'Amyntas";"Guérin, Pierre-Narcisse ; France";1805;"RF 1972 5";"Département des Peintures"
cl010065658;"Composition décorative, avec rideaux, paysage et animaux";"Largillière, Nicolas de ; France";"1725 / 1730  (1e tiers du XVIIIe siècle)";"RF 1979 59";"Département des Peintures"
cl010065659;"Phaéton conduisant le char du Soleil";"Bertin, Nicolas ; France";"1715 / 1720  (1e quart du XVIIIe siècle)";"RF 1980 4";"Département des Peintures"
cl010065660;"Pan et Syrinx";"Mignard, Pierre ; France";"1685 / 1690  (Fin du XVIIe siècle)";"RF 1979 19";"Département des Peintures"
cl010065665;"Socrate arrachant Alcibiade du sein de la Volupté";"Regnault, Jean Baptiste ; France";1791;"RF 1976 9";"Département des Peintures"
cl010065666;"Vue imaginaire de la Grande Galerie du Louvre en ruines";"Robert, Hubert ; France";"avant 1796";"RF 1961 20";"Département des Peintures"
cl010065667;"La Salle des Saisons au Louvre, en 1802-1803";"Robert, Hubert ; France";"1802 / 1803  (1e quart du XIXe siècle)";"RF 1964 35";"Département des Peintures"
cl010065668;"Le Dessinateur d'antiques devant la Petite Galerie du Louvre";"Robert, Hubert ; France";"1794 / 1800  (4e quart du XVIIIe siècle)";"RF 1952 31";"Département des Peintures"
cl010065669;"La Grande Galerie du Louvre entre 1801 et 1805";"Robert, Hubert ; France";"1801 / 1805  (Fin du XVIIIe siècle - début du XIXè siècle)";"RF 1964 34";"Département des Peintures"
cl010065670;"Vue d'une salle du Musée des Monuments Français, dans la chapelle de l'ancien couvent des Petits-Augustins, à Paris, après 1798";"Robert, Hubert ; France";"après 1798";"RF 1952 32";"Département des Peintures"
cl010065671;"Pierre Aymeric (né v. 1508), marchand de Saint-Flour, plus tard consul de Lyon en 1554.";"Corneille de Lyon ; France";1534;"RF 1976 15";"Département des Peintures"
cl010065672;"Un moulin à vent. Étretat.";"Corot, Jean-Baptiste Camille ; France";"1850 / 1875  (3e quart du XIXe siècle)";"RF 1952 11";"Département des Peintures"
cl010065673;"Mercure et Argus.";"Fragonard, Jean-Honoré ; France";"1761 / 1762  (3e quart du XVIIIe siècle)";"RF 1981 17";"Département des Peintures"
cl010065676;"Le Commerce";"Prud'hon, Pierre-Paul ; France";"1798 / 1801  (Fin du XVIIIe siècle - début du XIXè siècle)";"RF 1992 13";"Département des Peintures"
cl010065677;"La Peinture";"Prud'hon, Pierre-Paul ; France";"1798 / 1801  (Fin du XVIIIe siècle - début du XIXè siècle)";"RF 1992 14";"Département des Peintures"
cl010065679;"Les Plaisirs des sens";"Prud'hon, Pierre-Paul ; France";"1798 / 1801  (Fin du XVIIIe siècle - début du XIXè siècle)";"RF 1992 15";"Département des Peintures"
cl010065687;"Racine lisant Athalie devant Louis XIV et Madame de Maintenon";"Phlipault, Julie ; France";1819;"INV 7204; L 3696";"Département des Peintures"
cl010065695;"Vue de Naples avec le Vésuve";"Vernet, Claude-Joseph ; France";"vers 1748";"RF 1976 21";"Département des Peintures"
cl010065699;"Décor: Huit scènes antiques.";"Gosse, Nicolas ; France ; Vinchon, Auguste";1827;"INV 8472; C 188";"Département des Peintures"
cl010065700;"Décor: Huit scènes de la vie antique";"Gosse, Nicolas ; France ; Vinchon, Auguste";1827;"INV 8473; C 193";"Département des Peintures"
cl010065701;"Chevaux de halage";"Giroux, Achille ; France";"1850 / 1875  (3e quart du XIXe siècle)";"INV 20369";"Département des Peintures"
cl010065702;"Prise de Constantinople par les croisés (12 avril 1204), dit aussi Entrée des croisés à Constantinople";"Delacroix, Eugène ; France";1840;"INV 3821; LP 4674";"Département des Peintures"
cl010065703;"Apollon vainqueur du serpent Python";"Delacroix, Eugène ; France";"1850 / 1851  (3e quart du XIXe siècle)";"INV 3818";"Département des Peintures"
cl010065704;"Décor: Onze scènes de la vie civile des anciens.";"Gosse, Nicolas ; France ; Vinchon, Auguste";1827;"INV 8474; C 195";"Département des Peintures"
cl010065705;"Portrait en pied de Louis-Philippe (1773-1850), roi des français";"Gérard, François ; France";"1825 / 1850  (2e quart du XIXe siècle)";"INV 20457";"Département des Peintures"
cl010065706;"Louis XII proclamé ""Père du Peuple"" aux États généraux tenus à Tours en 1506";"Drolling, Michel-Martin ; France";"1825 / 1850  (2e quart du XIXe siècle)";"INV 4100; C 382; C 382 bis";"Département des Peintures"
cl010065717;"Paysage. Mort de Roland, en 778";"Michallon, Achille Etna ; France";"1800 / 1825  (1e quart du XIXe siècle)";"INV 6632; L 3654";"Département des Peintures"
cl010065720;"Sacre de l'empereur Napoléon 1er et couronnement de l'impératrice Joséphine dans la cathédrale Notre-Dame de Paris, le 2 décembre 1804.";"David, Jacques-Louis ; France";"1806 / 1807  (1e quart du XIXe siècle)";"INV 3699; MR 1437";"Département des Peintures"
cl010065721;"Décor: Huit scènes homériques";"Gosse, Nicolas ; France ; Vinchon, Auguste";1827;"INV 8475; C 197";"Département des Peintures"
cl010065726;"Guillaume du Vair (1556-1621), Garde des Sceaux de France.";"Chassériau, Théodore ; France";1844;"INV 1717; LP 2904";"Département des Peintures"
cl010065727;"Pie VII (1742-1823), élu pape en 1800.";"David, Jacques-Louis ; France";1805;"INV 3701; MR 1434";"Département des Peintures"
cl010065729;"Prise de Villefranche-sur-Mer (29 septembre 1792)";"Lecomte, Hippolyte ; France";1839;"INV 5765; LP 3978";"Département des Peintures"
cl010065730;"Figures d'hommes qui portent quatre médaillons imitant le bronze";"Mauzaisse, Jean Baptiste ; France";1821;"INV 6552; L 3824";"Département des Peintures"
cl010065731;L'Assomption;"Prud'hon, Pierre-Paul ; France";"1800 / 1825  (1e quart du XIXe siècle)";"INV 7339; L 3616";"Département des Peintures"
cl010065732;"Marie de Médicis";"Lemaire, Amédée, dit Ternante ; France";1847;"INV 1715; LP 7452";"Département des Peintures"
cl010065733;"Le voeu à la madone";"Schnetz, Jean Victor ; France";"1825 / 1850  (2e quart du XIXe siècle)";"RF 2410";"Département des Peintures"
cl010065739;"Le Louvre de Napoléon III";"Chavet, Victor Joseph ; France";1857;"INV 20048";"Département des Peintures"
cl010065746;"Plafond : Les oiseaux.";"Braque, Georges ; France";1953;"INV 20379";"Département des Peintures"
cl010065747;"Jeanne d'Arc au sacre du roi Charles VII, dans la cathédrale de Reims";"Ingres, Jean-Auguste-Dominique ; France";1854;"MI 667";"Département des Peintures"
cl010065748;"Homère déifié, dit aussi L'apothéose d'Homère";"Ingres, Jean-Auguste-Dominique ; France";1827;"INV 5417; C 196";"Département des Peintures"
cl010065749;"La Vierge à l'hostie";"Ingres, Jean-Auguste-Dominique ; France";1854;"INV 20088";"Département des Peintures"
cl010065750;"Plafond : Les oiseaux.";"Braque, Georges ; France";1953;"INV 20380";"Département des Peintures"
cl010065751;"Plafond : Les oiseaux.";"Braque, Georges ; France";1953;"INV 20378";"Département des Peintures"
cl010065757;"Mort de Sardanapale";"Delacroix, Eugène ; France";1827;"RF 2346";"Département des Peintures"
cl010065770;Homère;"Leloir, Auguste ; France";1841;"INV 6175; LP 4752";"Département des Peintures"
cl010065771;"Paysage, site d'Italie";"Letellier, Louis-Alphonse ; France";1888;"INV 6225; C 47";"Département des Peintures"
cl010065772;"Embarquement de bestiaux sur le ""Passager"" dans le port de Honfleur";"Leprince, Auguste-Xavier ; France";1823;"INV 7332; C 10";"Département des Peintures"
cl010065777;"""Tepidarium"", salle où les femmes de Pompéi venaient se reposer et se sécher en sortant du bain";"Chassériau, Théodore ; France";1853;"RF 71";"Département des Peintures"
cl010065779;"Vue prise à Bellevue, près de Meudon (Hauts-de-Seine).";"Cibot, Édouard ; France";1852;"MI 38";"Département des Peintures"
cl010065780;"Intérieur d'une chapelle de l'église des Feuillants à Paris. La chapelle Saint-Philippe, avec le tombeau de Raymond de Pélippeaux (+ 1629), secrétaire et conseiller du roi.";"Daguerre, Louis-Jacques Mandé ; France";1814;"INV 3636; L 3479";"Département des Peintures"
cl010065782;"Vue de l'intérieur de la cathédrale Sainte-Eulalie à Barcelone.";"Dauzats, Adrien ; France";1834;"INV 3684; LP 504";"Département des Peintures"
cl010065783;"La Giralda de Séville.";"Dauzats, Adrien ; France";"1825 / 1850  (2e quart du XIXe siècle)";"INV 3686; LP 3865";"Département des Peintures"
cl010065784;"Le couvent de Sainte-Catherine au Mont Sinaï.";"Dauzats, Adrien ; France";1845;"INV 3689; LP 6297";"Département des Peintures"
cl010065786;"Intérieur de l'atelier de David au Collège des Quatre Nations (aujourd'hui Institut de France), à Paris; Parmi les élèves : Victor Schnetz (1787-1870), Auguste Couder (1789-1873), Léopold Robert (1794-1835), Amable Louis Claude Pagnest (1790-1819).";"Cochereau, Léon-Matthieu ; France";1813;"INV 3280; L 3466";"Département des Peintures"
cl010065787;"Les remords d'Oreste";"Hennequin, Philippe-Auguste ; France";"1775 / 1800  (4e quart du XVIIIe siècle)";"INV 5322; MR 1811";"Département des Peintures"
cl010065790;"Vue de l'entrée du Château d'Anet (Eure-et-Loir)";"Le Blanc, Alexandre ; France";1819;"INV 5735; L 3733";"Département des Peintures"
cl010065791;"Intérieur du Campo Santo de Pise";"Le Blanc, Alexandre ; France";"1800 / 1850  (1e moitié du XIXe siècle)";"INV 5741; LP 6734";"Département des Peintures"
cl010065793;"Vue du dôme de Milan";"Latteux, Eugène ; France";1839;"INV 5723; LP 3874";"Département des Peintures"
cl010065794;"Charles Ier recevant une rose des mains d'une jeune fille,au moment où il est conduit prisonnier au";"Lami, Eugène ; France";1829;"INV 5579; LP 40";"Département des Peintures"
cl010065795;"Une guérilla";"Jollivet, Jules ; France";1834;"INV 5467; LP 518";"Département des Peintures"
cl010065796;Lara;"Jollivet, Jules ; France";1834;"INV 5474; LP 1625";"Département des Peintures"
cl010065797;"Plage à Marée basse";"Isabey, Eugène ; France";1844;"INV 5433; LP 147";"Département des Peintures"
cl010065798;"Calme du matin; intérieur de forêt";"Huet, Paul ; France";"1825 / 1850  (2e quart du XIXe siècle)";"INV 5414; MN 97";"Département des Peintures"
cl010065799;"Magdalena-Bay, vue prise de la presqu'île des Tombeaux, au nord du Spitzberg; effet d'aurore boréale.";"Biard, François ; France";"1825 / 1850  (2e quart du XIXe siècle)";"INV 2578; LP 4727";"Département des Peintures"
cl010065800;"Bataille d'Ocana (18 novembre 1809).";"Bellangé, Hippolyte-Joseph-Louis ; France";1844;"INV 2474; LP 6210";"Département des Peintures"
cl010065801;"Henri III à son lit de mort (1589).";"Beaume, Joseph ; France";"1800 / 1825  (1e quart du XIXe siècle)";"INV 2449; L 3830";"Département des Peintures"
cl010065802;"Un soir d'automne";"Cabat, Louis ; France";1852;"INV 3096; MN 96";"Département des Peintures"
cl010065804;"Combat livré sur les côtes d'Afrique par le chevalier des Augers à une escadre hollandaise (12 avril 1706)";"Gudin, Théodore ; France";"1825 / 1850  (2e quart du XIXe siècle)";"INV 5141; LP 3733";"Département des Peintures"
cl010065805;"Sauvetage d'un navire naufragé, dit aussi Le navire à la côte après un gros temps";"Gudin, Théodore ; France";"1800 / 1825  (1e quart du XIXe siècle)";"INV 5152; C 8";"Département des Peintures"
cl010065806;"Phèdre et Hippolyte";"Guérin, Pierre-Narcisse ; France";1802;"INV 5182; MR 1791";"Département des Peintures"
cl010065807;"Un condamné à mort exorté par un capucin au moment de partir pour le supplice.";"Haudebourt-Lescot, Antoinette Cécile Hortense ; France";"1800 / 1825  (1e quart du XIXe siècle)";"INV 5287; L 3744";"Département des Peintures"
cl010065808;"Cambyse et Psamménite";"Guignet, Adrien ; France";"2e quart du XIXe siècle";"INV 5255; LP 4743";"Département des Peintures"
cl010065810;"Vue prise à Amalfi, dans le golfe de Salerne";"Aligny, Théodore Caruelle d' ; France";1835;"INV 2305; LP 1603";"Département des Peintures"
cl010065811;"Marine, effet de brouillard.";"Barry, François ; France";1845;"INV 2434; LP 6292";"Département des Peintures"
cl010065813;"Anne d'Autriche au monastère du Val-de-Grâce.";"Beaume, Joseph ; France";"1825 / 1850  (2e quart du XIXe siècle)";"INV 2450; LP 1605";"Département des Peintures"
cl010065814;"Derniers moments de la Grande Dauphine, Marie Anne Christine de Bavière, belle-fille de Louis XIV (1690).";"Beaume, Joseph ; France";"1825 / 1850  (2e quart du XIXe siècle)";"INV 2451; LP 497";"Département des Peintures"
cl010065816;"Anne de Boleyn condamnée à mort";"Bergeret, Pierre-Nolasque ; France";"1800 / 1825  (1e quart du XIXe siècle)";"INV 2513; L 3462";"Département des Peintures"
cl010065817;"Saint François d'Assise, transporté mourant à Sainte-Marie-des-Anges, bénit la ville d'Assise (1226)";"Benouville, Léon ; France";1853;"MI 9; RF 62";"Département des Peintures"
cl010065819;"Vue de l'île de Sora, dans le royaume de Naples (Isola del Liri, près de Sora).";"Bidauld, Jean Joseph Xavier ; France";1793;"INV 2588; MR 1196";"Département des Peintures"
cl010065820;"Santon prêchant des bédouins.";"Biard, François ; France";"1825 / 1850  (2e quart du XIXe siècle)";"INV 2573; LP 121";"Département des Peintures"
cl010065825;"Raphaël au Vatican";"Vernet, Horace ; France";1832;"INV 8365; LP 114";"Département des Peintures"
cl010065826;"La fuite en Égypte";"Watelet, Louis-Étienne ; France";1842;"INV 8517; LP 5208";"Département des Peintures"
cl010065827;"Un jour de revue sous l'Empire (1810). Au fond, l'arc de triomphe du Carrousel et lesTuileries.";"Bellangé, Hippolyte-Joseph-Louis ; France";1862;"RF 60";"Département des Peintures"
cl010065828;"Contrat de mariage en Italie.";"Bodinier, Guillaume ; France";1831;"INV 2673; LP 5";"Département des Peintures"
cl010065831;"Paysage ; environs de Grenoble";"Achard, Jean Alexis ; France";1845;"INV 2200; LP 6290";"Département des Peintures"
cl010065844;"Une jeune courtisane";"Sigalon, Xavier ; France";1821;"INV 7938; L 3861";"Département des Peintures"
cl010065845;"Vue de la campagne de Richmond, effet de clair de lune";"Sebron, Hippolyte ; France";1845;"INV 7916; LP 6320";"Département des Peintures"
cl010065847;"Le retour de la fête de la Madone de l'Arc, près de Naples";"Robert, Léopold ; France ; Suisse";1827;"INV 7664; C 251";"Département des Peintures"
cl010065848;"Scène de la Saint Barthélemy";"Robert Fleury, Joseph-Nicolas ; France";1833;"INV 7673; LP 138";"Département des Peintures"
cl010065849;"Roger délivrant Angélique";"Rioult, Louis Édouard ; France";1824;"INV 7602; C 36";"Département des Peintures"
cl010065856;"L'Adoration des bergers";"Champaigne, Philippe de ; France";;"INV 20813";"Département des Peintures"
cl010065858;"Le Rêve du bonheur";"Mayer-Lamartinière, Constance ; France";1819;"INV 6586; L 3735";"Département des Peintures"
cl010065860;L'escarpolette;"Monvoisin, Raymond Auguste Quinsac ; France";1839;"INV 6802; LP 4330";"Département des Peintures"
cl010065861;"Le Dévouement de monseigneur de Belzunce (1671-1755), évêque de Marseille, durant la peste qui désola cette ville en 1720";"Monsiau, Nicolas André ; France";1818;"INV 6774; L 3719";"Département des Peintures"
cl010065866;"Une route sur laquelle on voit une diligence";"France ; De Marne, Jean-Louis";"1800 / 1825  (1e quart du XIXe siècle)";"INV 6441; L 3468";"Département des Peintures"
